Seq;Md;Inc;Azi;Tvd
425;3571;89.97;18.74;1580.11
426;3574;89.96;18.52;1580.11
427;3580;89.99;18.06;1580.11
428;3583;89.95;17.83;1580.12
429;3586;89.95;17.6;1580.12
430;3589;89.97;17.37;1580.12
431;3593.5;89.97;17.03;1580.12
432;3597;90.01;16.79;1580.12
433;3600;90;16.58;1580.12
434;3603;90.07;16.37;1580.12
435;3609;90.26;15.96;1580.1
436;3612;90.44;15.75;1580.09
437;3615;90.52;15.54;1580.06
438;3618;90.6;15.34;1580.03
439;3622.6;90.49;15.02;1579.99
440;3626;90.54;14.8;1579.96
441;3629;90.5;14.61;1579.93
442;3632;90.55;14.42;1579.9
443;3635;90.52;14.23;1579.87
444;3638;90.55;14.04;1579.85
445;3641;90.53;13.85;1579.82
446;3644;90.51;13.65;1579.79
447;3647;90.55;13.46;1579.76
448;3651.6;90.55;13.17;1579.72
449;3655;90.54;13.04;1579.69
450;3658;90.52;12.93;1579.66
451;3661;90.54;12.81;1579.63
452;3664;90.56;12.7;1579.6
453;3670;90.54;12.47;1579.54
454;3676;90.46;12.24;1579.49
455;3680.8;90.47;12.06;1579.45
456;3684;90.46;11.82;1579.43
457;3687;90.48;11.6;1579.4
458;3690;90.49;11.38;1579.38
459;3693;90.53;11.15;1579.35
460;3696;90.47;10.93;1579.32
461;3702;90.27;10.49;1579.29
462;3705;90.18;10.26;1579.27
463;3709.9;90.18;9.9;1579.26
464;3713;90.13;9.82;1579.25
465;3716;90.12;9.75;1579.24
466;3719;90.1;9.67;1579.24
467;3722;90.12;9.6;1579.23
468;3725;90.1;9.52;1579.23
469;3728;90.08;9.44;1579.22
470;3731;90.08;9.37;1579.22
471;3734;90.09;9.29;1579.21
472;3738.9;90.13;9.17;1579.2
473;3742;90.15;8.87;1579.2
474;3745;90.18;8.58;1579.19
475;3748;90.12;8.29;1579.18
476;3751;90.14;8.01;1579.17
477;3754;90.18;7.72;1579.16
478;3757;90.2;7.43;1579.15
479;3760;90.1;7.14;1579.15
480;3763;90.15;6.85;1579.14
481;3767.9;90.11;6.38;1579.13
482;3777;90.02;5.96;1579.12
483;3780;89.92;5.82;1579.12
484;3783;89.96;5.68;1579.12
485;3786;90;5.54;1579.12
486;3789;89.95;5.4;1579.13
487;3792;89.99;5.26;1579.13
488;3796.4;89.94;5.05;1579.13
489;3800;89.89;4.72;1579.14
490;3803;90.07;4.44;1579.14
491;3806;90.03;4.16;1579.13
492;3809;89.98;3.88;1579.13
493;3812;90.04;3.6;1579.13
494;3815;89.93;3.32;1579.13
495;3818;89.92;3.04;1579.14
496;3821;89.97;2.77;1579.14
497;3825.9;89.96;2.31;1579.14
498;3829;89.99;2.13;1579.15
499;3832;90;1.95;1579.15
500;3835;90.03;1.77;1579.14
501;3838;90.01;1.59;1579.14
502;3841;90.01;1.41;1579.14
503;3844;90.08;1.23;1579.14
504;3847;90.2;1.06;1579.13
505;3850;90.17;0.88;1579.12
506;3855;90.31;0.58;1579.1
507;3858;90.28;0.35;1579.09
508;3864;90.3;-0.12;1579.06
509;3867;90.34;-0.36;1579.04
510;3870;90.32;359.41;1579.02
511;3873;90.39;359.17;1579
512;3876;90.3;358.94;1578.99
513;3879;90.38;358.7;1578.97
514;3884;90.32;358.31;1578.94
515;3887;90.31;358.05;1578.92
516;3890;90.33;357.8;1578.9
517;3893;90.31;357.54;1578.89
518;3899;90.32;357.03;1578.85
519;3902;90.34;356.77;1578.84
520;3905;90.32;356.51;1578.82
521;3908;90.33;356.26;1578.8
522;3913;90.37;355.83;1578.77
523;3916;90.31;355.59;1578.75
524;3919;90.32;355.36;1578.74
525;3922;90.33;355.12;1578.72
526;3928;90.33;354.65;1578.69
527;3931;90.29;354.41;1578.67
528;3934;90.16;354.18;1578.66
529;3937;90.12;353.94;1578.65
530;3942.1;90.14;353.54;1578.64
531;3946;90.17;353.33;1578.63
532;3949;90.15;353.17;1578.62
533;3952;90.13;353.01;1578.61
534;3958;90.13;352.69;1578.6
535;3961;90.17;352.53;1578.59
536;3971.2;90.16;351.99;1578.56
537;3975;90.15;351.86;1578.55
538;3978;90.15;351.75;1578.54
539;3981;90.15;351.65;1578.54
540;3984;90.14;351.54;1578.53
541;3987;90.19;351.44;1578.52
542;3990;90.38;351.34;1578.51
543;3993;90.47;351.23;1578.48
544;3996;90.51;351.13;1578.46
545;4000.2;90.49;350.98;1578.42
546;4004;90.43;350.92;1578.39
547;4007;90.45;350.87;1578.37
548;4010;90.37;350.82;1578.35
549;4013;90.17;350.77;1578.33
550;4016;89.96;350.72;1578.33
551;4019;89.61;350.68;1578.34
552;4022;89.52;350.63;1578.36
553;4025;89.52;350.58;1578.39
554;4029.3;89.44;350.51;1578.43
555;4033;89.44;350.65;1578.46
556;4036;89.66;350.75;1578.49
557;4039;89.89;350.86;1578.5
558;4042;89.96;350.97;1578.5
559;4045;90.03;351.08;1578.5
560;4048;89.98;351.19;1578.5
561;4051;89.94;351.3;1578.5
562;4054;89.98;351.41;1578.51
563;4058.3;89.98;351.57;1578.51
564;4062;89.96;351.65;1578.51
565;4065;89.94;351.72;1578.51
566;4068;89.95;351.79;1578.52
567;4071;89.95;351.86;1578.52
568;4074;89.59;351.93;1578.53
569;4077;89.36;352;1578.56
570;4080;89.04;352.06;1578.6
571;4083;88.92;352.13;1578.65
572;4087.3;88.92;352.23;1578.73
573;4091;89.06;352.27;1578.8
574;4094;89.72;352.31;1578.83
575;4100;89.83;352.38;1578.85
576;4103;89.92;352.41;1578.86
577;4106;89.99;352.44;1578.86
578;4109;90.07;352.48;1578.86
579;4112;90.02;352.51;1578.86
580;4115.2;90.04;352.55;1578.86
581;4119;89.93;352.57;1578.86
582;4122;89.96;352.58;1578.86
583;4125;89.95;352.59;1578.86
584;4128;89.93;352.61;1578.87
585;4131;89.94;352.62;1578.87
586;4134;89.99;352.63;1578.87
587;4137;89.96;352.64;1578.87
588;4140;90;352.66;1578.87
589;4145.2;89.98;352.68;1578.88
590;4149;89.99;352.77;1578.88
591;4152;90;352.85;1578.88
592;4155;89.97;352.92;1578.88
593;4158;89.95;352.99;1578.88
594;4161;89.97;353.07;1578.88
595;4164;89.95;353.14;1578.88
596;4170;89.68;353.29;1578.9
597;4174.2;89.62;353.39;1578.93
598;4178;89.57;353.65;1578.96
599;4181;89.57;353.85;1578.98
600;4184;89.56;354.06;1579
601;4187;89.68;354.26;1579.02
602;4190;89.62;354.47;1579.04
603;4193;89.56;354.67;1579.06
604;4196;89.38;354.87;1579.09
605;4199;89.28;355.08;1579.12
606;4203.3;89.25;355.37;1579.18
607;4207;89.26;355.64;1579.23
608;4210;89.27;355.86;1579.27
609;4213;89.26;356.07;1579.3
610;4216;89.25;356.29;1579.34
611;4219;89.24;356.51;1579.38
612;4222;89.26;356.72;1579.42
613;4225;89.27;356.94;1579.46
614;4228;89.32;357.16;1579.5
615;4232.3;89.44;357.47;1579.54
616;4236;89.69;357.69;1579.57
617;4239;89.89;357.86;1579.58
618;4242;89.96;358.04;1579.59
619;4251;89.95;358.57;1579.59
620;4254;89.97;358.75;1579.6
621;4257;90;358.92;1579.6
622;4261.2;90;359.17;1579.6
623;4265;90;359.16;1579.6
624;4268;89.95;359.16;1579.6
625;4271;89.95;359.15;1579.6
626;4274;89.91;359.15;1579.6
627;4277;89.98;359.14;1579.61
628;4280;89.93;359.14;1579.61
629;4283;89.94;359.13;1579.61
630;4286;89.97;359.13;1579.62
631;4290.2;89.96;359.12;1579.62
632;4294;89.95;358.57;1579.62
633;4297;89.98;358.14;1579.62
634;4300;89.95;357.71;1579.62
635;4303;89.96;357.28;1579.63
636;4306;89.95;356.85;1579.63
637;4312;89.78;355.99;1579.64
638;4315;89.76;355.56;1579.66
639;4319.3;89.73;354.94;1579.67
640;4323;89.83;354.54;1579.69
641;4326;89.81;354.21;1579.7
642;4332;89.75;353.56;1579.72
643;4335;89.67;353.23;1579.74
644;4338;89.63;352.9;1579.75
645;4341;89.66;352.58;1579.77
646;4348.3;89.66;351.78;1579.82
647;4352;89.66;351.57;1579.84
648;4355;89.65;351.4;1579.86
649;4358;89.62;351.23;1579.88
650;4364;89.58;350.89;1579.92
651;4370;89.77;350.55;1579.95
652;4373;89.91;350.37;1579.96
653;4377.3;90.01;350.13;1579.96
654;4381;89.94;350.31;1579.96
655;4384;90;350.45;1579.97
656;4387;89.95;350.6;1579.97
657;4390;89.98;350.74;1579.97
658;4393;90.01;350.89;1579.97
659;4396;89.98;351.03;1579.97
660;4399;89.96;351.17;1579.97
661;4402;90.01;351.32;1579.97
662;4406.4;89.93;351.53;1579.97
663;4410;89.96;351.36;1579.98
664;4413;89.92;351.23;1579.98
665;4416;89.98;351.09;1579.98
666;4419;89.98;350.95;1579.98
667;4422;89.96;350.81;1579.99
668;4425;90.01;350.67;1579.99
669;4428;89.98;350.54;1579.99
670;4431;89.96;350.4;1579.99
671;4435.5;90.01;350.19;1579.99
672;4439;89.97;350.2;1579.99
673;4442;89.95;350.2;1579.99
674;4445;89.99;350.21;1579.99
675;4448;90.07;350.22;1579.99
676;4451;89.95;350.22;1579.99
677;4454;90.02;350.23;1579.99
678;4457;89.97;350.23;1579.99
679;4460;89.95;350.24;1580
680;4464.6;90;350.25;1580
681;4468;89.98;350.33;1580
682;4471;89.93;350.41;1580
683;4474;89.96;350.48;1580
684;4477;89.97;350.56;1580.01
685;4480;89.97;350.63;1580.01
686;4483;89.99;350.71;1580.01
687;4486;89.91;350.78;1580.01
688;4489;89.71;350.86;1580.02
689;4493.1;89.35;350.96;1580.05
690;4497;89.24;350.65;1580.1
691;4500;89.22;350.41;1580.14
692;4503;88.95;350.17;1580.19
693;4506;88.68;349.94;1580.25
694;4509;88.33;349.7;1580.33
695;4512;88.04;349.46;1580.43
696;4515;87.99;349.22;1580.53
697;4518;87.99;348.98;1580.63
698;4522.7;88.07;348.61;1580.8
699;4526;88.45;348.59;1580.9
700;4529;88.71;348.56;1580.97
701;4532;89;348.54;1581.03
702;4535;89.18;348.52;1581.08
703;4544;89.12;348.45;1581.21
704;4547;89.06;348.43;1581.26
705;4551.8;89.02;348.39;1581.34
706;4555;88.61;348.09;1581.41
707;4558;88.41;347.8;1581.48
708;4561;88.17;347.51;1581.57
709;4564;88.14;347.23;1581.67
710;4567;88.3;346.94;1581.76
711;4570;88.62;346.66;1581.84
712;4573;88.88;346.37;1581.91
713;4576;89.23;346.09;1581.96
714;4580.9;89.7;345.62;1582
715;4584;89.96;345.37;1582.01
716;4587;90.02;345.13;1582.01
717;4593;89.96;344.65;1582.02
718;4596;90.01;344.41;1582.02
719;4599;90.05;344.17;1582.01
720;4602;90.3;343.93;1582.01
721;4605;90.34;343.69;1581.99
722;4609.9;90.31;343.3;1581.96
723;4613;90.35;343.05;1581.94
724;4616;90.36;342.8;1581.92
725;4619;90.37;342.56;1581.91
726;4622;90.39;342.32;1581.89
727;4625;90.35;342.07;1581.87
728;4628;90.42;341.83;1581.85
729;4631;90.39;341.58;1581.82
730;4634;90.47;341.34;1581.8
731;4638.9;90.88;340.94;1581.74
732;4642;90.88;341.07;1581.7
733;4645;90.91;341.19;1581.65
734;4648;90.87;341.31;1581.6
735;4651;90.86;341.43;1581.56
736;4654;90.88;341.55;1581.51
737;4657;90.89;341.67;1581.47
738;4660;90.87;341.8;1581.42
739;4663;90.89;341.92;1581.37
740;4668;90.89;342.12;1581.3
741;4671;90.91;342.54;1581.25
742;4674;90.89;342.97;1581.2
743;4677;90.9;343.39;1581.16
744;4680;90.88;343.81;1581.11
745;4683;90.83;344.24;1581.06
746;4686;90.85;344.66;1581.02
747;4689;90.87;345.09;1580.97
748;4692;90.85;345.51;1580.93
749;4697.1;90.65;346.23;1580.86
750;4704;90.5;346.85;1580.79
751;4707;90.54;347.12;1580.77
